iclabel,glyph,usagecode
A:uc0---:004e0e:与,与,CJ
A:uc0---:004e10:丐,丐,cJTHm
A:uc0---:004e11:丑,丑,CJKTHm
A:uc0---:00919c:醜,醜,JKTHM
A:uc0---:005c08:專,專,KTHM
A:uc0---:008011:耑,耑,T
A:uc0---:004e13:专,专,C
A:uc0---:005c02:専,専,J
A:uc0---:004e15:丕,丕,cJKTHm
A:uc0---:004ef3:仳,仳,cTHm
A:uc0---:004e16:世,世,CJKTHM
A:uc0---:00696d:業,業,JKTHM
A:uc0---:004e1a:业,业,C
A:uc0---:0053e2:叢,叢,JKTHM
A:uc0---:004e1b:丛,丛,C
A:uc0---:006771:東,東,JKTHM
A:uc0---:004e1c:东,东,C
A:uc0---:004e1f:丟,丟,THM
A:uc0---:004e22:丢,丢,C
A:uc0---:005169:兩,兩,KTHM
A:uc0---:004e21:両,両,Jh
A:uc0---:004e24:两,两,C
A:uc0---:00914b:酋,酋,CJKTHM
A:uc0---:009149:酉,酉,CJKTHm
A:uc0---:0056b4:嚴,嚴,JKTHM
A:uc0---:004e25:严,严,C
A:uc0---:0053b3:厳,厳,J
A:uc0---:005e76:并,并,CJTH
A:uc0---:004f75:併,併,JTHM
A:uc0---:004e26:並,並,JTHM
A:uc0---:007add:竝,竝,JKt
A:uc0---:005e77:幷,幷,K
A:uc0---:005002:倂,倂,K
A:uc0---:0055aa:喪,喪,JKTHM
A:uc0---:004e27:丧,丧,C
A:uc0---:00500b:個,個,JKTHM
A:uc0---:007b87:箇,箇,JKTm
A:uc0---:004e2a:个,个,CJ
A:uc0---:00585a:塚,塚,JKTHm
A:uc0---:0051a2:冢,冢,cTHm
A:uc0---:008c50:豐,豐,kTHM
A:uc0---:004e30:丰,丰,CKTm
A:uc0---:008c4a:豊,豊,JKth
A:uc0---:005efe:廾,廾,T
A:uc0---:004e31:丱,丱,J
A:uc0---:0081e8:臨,臨,JKTHM
A:uc0---:004e34:临,临,C
A:uc0---:0070ba:為,為,JTHM
A:uc0---:007232:爲,爲,JK
A:uc0---:004e3a:为,为,C
A:uc0---:004e95:井,井,CJKTHM
A:uc0---:004e3c:丼,丼,Jt
A:uc0---:009e97:麗,麗,JKTHM
A:uc0---:004e3d:丽,丽,C
A:uc0---:004e43:乃,乃,CJKTHM
A:uc0---:008ffa:迺,迺,cTHm
A:uc0---:005efc:廼,廼,J
A:uc0---:004e45:久,久,CJKTHM
A:uc0---:009ebc:麼,麼,THM
A:uc0---:004e48:么,么,CT
A:uc0---:005e7a:幺,幺,ch
A:uc0---:007fa9:義,義,JKTHM
A:uc0---:004e49:义,义,C
A:uc0---:0070cf:烏,烏,JKTHM
A:uc0---:004e4c:乌,乌,C
A:uc0---:006a02:樂,樂,JKTHM
A:uc0---:004e50:乐,乐,C
A:uc0---:00697d:楽,楽,J
A:uc0---:0055ac:喬,喬,JKTHM
A:uc0---:004e54:乔,乔,C
A:uc0---:00864e:虎,虎,CJKTHM
A:uc0---:004e55:乕,乕,J
A:uc0---:004e58:乘,乘,CKTHM
A:uc0---:004e57:乗,乗,J
A:uc0---:0096b1:隱,隱,KTHM
A:uc0---:009690:隐,隐,C
A:uc0---:0096a0:隠,隠,J
A:uc0---:004e5d:九,九,CJKTHM
A:uc0---:007396:玖,玖,CJKTHm
A:uc0---:007fd2:習,習,JKTHM
A:uc0---:004e60:习,习,C
A:uc0---:009109:鄉,鄉,THM
A:uc0---:004e61:乡,乡,C
A:uc0---:0090f7:郷,郷,J
A:uc0---:009115:鄕,鄕,K
A:uc0---:0066f8:書,書,JKTHM
A:uc0---:004e66:书,书,C
A:uc0---:007a3d:稽,稽,CJKTHM
A:uc0---:004e69:乩,乩,cTHm
A:uc0---:008cb7:買,買,JKTHM
A:uc0---:004e70:买,买,C
A:uc0---:004e82:亂,亂,KTHM
A:uc0---:004e71:乱,乱,CJ
A:uc0---:005e72:干,干,CJKTHM
A:uc0---:004e7e:乾,乾,CJKTHM
A:uc0---:005e79:幹,幹,JKTHM
A:uc0---:0069a6:榦,榦,THm
A:uc0---:009f9c:龜,龜,KTHM
A:uc0---:009f9f:龟,龟,C
A:uc0---:004e80:亀,亀,J
A:uc0---:00722d:爭,爭,KTHM
A:uc0---:004e89:争,争,CJ
A:uc0---:004e8b:事,事,CJKTHM
A:uc0---:004e8c:二,二,CJKTHM
A:uc0---:008cb3:貳,貳,KTHm
A:uc0---:008d30:贰,贰,C
A:uc0---:005f10:弐,弐,J
A:uc0---:008667:虧,虧,KTHM
A:uc0---:004e8f:亏,亏,C
A:uc0---:004e91:云,云,CJKTHM
A:uc0---:0096f2:雲,雲,JKTHM
A:uc0---:006b72:歲,歲,KTHM
A:uc0---:005c81:岁,岁,C
A:uc0---:006b73:歳,歳,J
A:uc0---:004e99:亙,亙,JTHm
A:uc0---:004e98:亘,亘,cJK
A:uc0---:004e9e:亞,亞,JKTHM
A:uc0---:004e9a:亚,亚,C
A:uc0---:004e9c:亜,亜,J
A:uc0---:009f4a:齊,齊,JKTHM
A:uc0---:009f50:齐,齐,C
A:uc0---:006589:斉,斉,J
A:uc0---:004ea1:亡,亡,CJKTHM
A:uc0---:007522:產,產,THM
A:uc0---:007523:産,産,JK
A:uc0---:004ea7:产,产,C
A:uc0---:00755d:畝,畝,JKTHM
A:uc0---:004ea9:亩,亩,C
A:uc0---:004eac:京,京,CJKTHM
A:uc0---:004eab:享,享,CJKTHM
A:uc0---:00591c:夜,夜,CJKTHM
A:uc0---:0089aa:親,親,JKTHM
A:uc0---:004eb2:亲,亲,C
A:uc0---:005ec9:廉,廉,CJKTHM
A:uc0---:0096c6:集,集,CJKTHM
A:uc0---:005104:億,億,JKTHM
A:uc0---:004ebf:亿,亿,C
A:uc0---:004ec1:仁,仁,CJKTHM
A:uc0---:0052d5:動,動,JKTHM
A:uc0---:0052a8:动,动,C
A:uc0---:0050cd:働,働,J
A:uc0---:00505c:停,停,CJKTHM
A:uc0---:004ec3:仃,仃,cTHm
A:uc0---:0050c5:僅,僅,JKTHM
A:uc0---:004ec5:仅,仅,C
A:uc0---:0050d5:僕,僕,JKTHM
A:uc0---:004ec6:仆,仆,CTHm
A:uc0---:004ec7:仇,仇,CJKTHM
A:uc0---:008b90:讐,讐,JK
A:uc0---:008b8e:讎,讎,t
A:uc0---:005f9e:從,從,KTHM
A:uc0---:004ece:从,从,C
A:uc0---:005f93:従,従,J
A:uc0---:004f5b:佛,佛,CJKTHM
A:uc0---:005f7f:彿,彿,JKTHM
A:uc0---:004ecf:仏,仏,J
A:uc0---:005d19:崙,崙,JKTHm
A:uc0---:004f96:侖,侖,KTHm
A:uc0---:004ed1:仑,仑,C
A:uc0---:005009:倉,倉,JKTHM
A:uc0---:004ed3:仓,仓,C
A:uc0---:004ed6:他,他,CJKTHM
A:uc0---:005979:她,她,CTHM
A:uc0---:005b83:它,它,CTHM
A:uc0---:007260:牠,牠,THM
A:uc0---:007942:祂,祂,th
A:uc0---:004f57:佗,佗,cJTHm
A:uc0---:004ed9:仙,仙,CJKTHM
A:uc0---:0050ca:僊,僊,JKh
A:uc0---:00540c:同,同,CJKTHM
A:uc0---:004edd:仝,仝,cKth
A:uc0---:004ede:仞,仞,cJTHm
A:uc0---:005343:千,千,CJKTHM
A:uc0---:004edf:仟,仟,CJKTHm
A:uc0---:0097c6:韆,韆,KTHm
A:uc0---:005100:儀,儀,JKTHM
A:uc0---:004eea:仪,仪,C
A:uc0---:005011:們,們,JKTHM
A:uc0---:004eec:们,们,C
A:uc0---:005047:假,假,CKTHM
A:uc0---:004eee:仮,仮,J
A:uc0---:0050f9:價,價,KTHM
A:uc0---:004ef7:价,价,CJKm
A:uc0---:004fa1:価,価,J
A:uc0---:004efb:任,任,CJKTHM
A:uc0---:005206:分,分,CJKTHM
A:uc0---:004efd:份,份,CTHM
A:uc0---:004f4e:低,低,CJKTHM
A:uc0---:005f77:彷,彷,cJKTHM
A:uc0---:005023:倣,倣,JKTH
A:uc0---:004eff:仿,仿,CTHM
A:uc0---:005fac:徬,徬,THm
A:uc0---:0059a4:妤,妤,cTHm
A:uc0---:00773e:眾,眾,THM
A:uc0---:008846:衆,衆,JK
A:uc0---:004f17:众,众,C
A:uc0---:00512a:優,優,JKTHM
A:uc0---:004f18:优,优,Ct
A:uc0---:005925:夥,夥,cJTHM
A:uc0---:004f19:伙,伙,CTHM
A:uc0---:006703:會,會,JKTHM
A:uc0---:004f1a:会,会,CJ
A:uc0---:005005:倅,倅,J
A:uc0---:004f1c:伜,伜,J
A:uc0---:0050b3:傳,傳,JKTHM
A:uc0---:004f20:传,传,C
A:uc0---:004f1d:伝,伝,J
A:uc0---:005098:傘,傘,JKTHM
A:uc0---:004f1e:伞,伞,C
A:uc0---:007e56:繖,繖,J
A:uc0---:005049:偉,偉,JKTHM
A:uc0---:004f1f:伟,伟,C
A:uc0---:004fd4:俔,俔,K
A:uc0---:0050b7:傷,傷,JKTHM
A:uc0---:004f24:伤,伤,C
A:uc0---:005000:倀,倀,THm
A:uc0---:004f25:伥,伥,c
A:uc0---:00502b:倫,倫,JKTHM
A:uc0---:004f26:伦,伦,C
A:uc0---:005096:傖,傖,THm
A:uc0---:004fe1:信,信,CJKTHM
A:uc0---:00507d:偽,偽,JTHM
A:uc0---:004f2a:伪,伪,C
A:uc0---:0050de:僞,僞,K
A:uc0---:004f47:佇,佇,JKTHm
A:uc0---:004f2b:伫,伫,c
A:uc0---:007384:玄,玄,CJKTHM
A:uc0---:004f60:你,你,CTHM
A:uc0---:0059b3:妳,妳,TH
A:uc0---:005191:冑,冑,JkTH
A:uc0---:0080c4:胄,胄,cJKT
A:uc0---:005e03:布,布,CJKTHM
A:uc0---:004f48:佈,佈,KTHM
A:uc0---:007d39:紹,紹,JKTHM
A:uc0---:007ecd:绍,绍,C
A:uc0---:004f51:佑,佑,CJKTHM
A:uc0---:007950:祐,祐,JKTHM
A:uc0---:009ad4:體,體,JKTHM
A:uc0---:004f53:体,体,CJKt
A:uc0---:008eb0:躰,躰,J
A:uc0---:005360:占,占,CJKTHM
A:uc0---:004f54:佔,佔,THM
A:uc0---:004f5e:佞,佞,cJTHm
A:uc0---:0050ad:傭,傭,JKTHM
A:uc0---:004f63:佣,佣,CTHM
A:uc0---:0050c9:僉,僉,Kt
A:uc0---:0059c6:姆,姆,CJKTHM
A:uc0---:0059e5:姥,姥,CJTHm
A:uc0---:004f6c:佬,佬,CTHM
A:uc0---:00767e:百,百,CJKTHM
A:uc0---:004f70:佰,佰,CJKTHm
A:uc0---:008a75:詵,詵,K
A:uc0---:004f81:侁,侁,K
A:uc0---:006258:托,托,CJKTHM
A:uc0---:008a17:託,託,JKTHM
A:uc0---:0059ea:姪,姪,JKTHm
A:uc0---:004f84:侄,侄,CKt
A:uc0---:008cc5:賅,賅,THm
A:uc0---:008d45:赅,赅,c
A:uc0---:004f86:來,來,JKTHM
A:uc0---:006765:来,来,CJ
A:uc0---:008a87:誇,誇,JKTHM
A:uc0---:005938:夸,夸,CTHm
A:uc0---:006549:敉,敉,cT
A:uc0---:006b89:殉,殉,CJKTHm
A:uc0---:005f87:徇,徇,cJKTHm
A:uc0---:004fe0:俠,俠,KTHM
A:uc0---:004fa0:侠,侠,CJ
A:uc0---:004fb6:侶,侶,JKTHM
A:uc0---:004fa3:侣,侣,C
A:uc0---:0050e5:僥,僥,JKTHm
A:uc0---:004fa5:侥,侥,C
A:uc0---:005075:偵,偵,JKTHM
A:uc0---:004fa6:侦,侦,C
A:uc0---:005074:側,側,JKTHM
A:uc0---:004fa7:侧,侧,C
A:uc0---:0050d1:僑,僑,JKTHM
A:uc0---:004fa8:侨,侨,C
A:uc0---:005108:儈,儈,THm
A:uc0---:004fa9:侩,侩,C
A:uc0---:005115:儕,儕,Tm
A:uc0---:004faa:侪,侪,c
A:uc0---:005102:儂,儂,THm
A:uc0---:004fac:侬,侬,c
A:uc0---:0076e1:盡,盡,JKTHM
A:uc0---:005118:儘,儘,JTHM
A:uc0---:005c3d:尽,尽,CJ
A:uc0---:004fe3:俣,俣,cJ
A:uc0---:007cfb:系,系,CJKTHM
A:uc0---:004fc2:係,係,JKTHM
A:uc0---:007e6b:繫,繫,KTHM
A:uc0---:007e4b:繋,繋,J
