"cid_hex","glyph","texname"
"u/395","Ε","Epsilon"
"u/396","Ζ","Zeta"
"u/397","Η","Eta"
"u/398","Θ","Theta"
"u/399","Ι","Iota"
"u/39a","Κ","Kappa"
"u/39b","Λ","Lambda"
"u/39c","Μ","M"
"u/39d","Ν","N"
"u/39e","Ξ","Xi"
"u/39f","Ο","O"
"u/3a0","Π","Pi"
"u/3a1","Ρ","Rho"
"u/3a3","Σ","Sigma"
"u/3a4","Τ","Tau"
"u/3a5","Υ","Upsilon"
"u/3a6","Φ","Phi"
"u/3a7","Χ","Chi"
"u/3a8","Ψ","Psi"
"u/3a9","Ω","Omega"
"u/3aa","Ϊ","mathrm-ddot-I"
"u/3ab","Ϋ","mathrm-ddot-Y"
"u/3ac","ά","acute-$alpha$"
"u/3ad","έ","acute-epsilon"
"u/3ae","ή","acute-eta"
"u/3af","ί","acute-iota"
"u/3b0","ΰ","acute-ddot-upsilon"
"u/3b1","α","alpha"
"u/3b2","β","beta"
"u/3b3","γ","gamma"
"u/3b4","δ","delta"
"u/3b5","ε","epsilon"
"u/3b6","ζ","zeta"
"u/3b7","η","eta"
"u/3b8","θ","texttheta"
"u/3b9","ι","iota"
"u/3ba","κ","kappa"
"u/3bb","λ","lambda"
"u/3bc","μ","mu"
"u/3bd","ν","nu"
"u/3be","ξ","xi"
"u/3bf","ο","o"
"u/3c0","π","pi"
"u/3c1","ρ","rho"
"u/3c2","ς","varsigma"
"u/3c3","σ","sigma"
"u/3c4","τ","tau"
"u/3c5","υ","upsilon"
"u/3c6","φ","varphi"
"u/3c7","χ","chi"
"u/3c8","ψ","psi"
"u/3c9","ω","omega"
"u/3ca","ϊ","ddot-iota"
"u/3cb","ϋ","ddot-upsilon"
"u/3cc","ό","acute-o"
"u/3cd","ύ","acute-upsilon"
"u/3ce","ώ","acute-omega"
"u/3d0","ϐ","Pisymbol-ppi022-87"
"u/3d1","ϑ","textvartheta"
"u/3d2","ϒ","Upsilon"
"u/3d5","ϕ","phi"
"u/3d6","ϖ","varpi"
"u/3da","Ϛ","Stigma"
"u/3dc","Ϝ","Digamma"
"u/3dd","ϝ","digamma"
"u/3de","Ϟ","Koppa"
"u/3e0","Ϡ","Sampi"
"u/3f0","ϰ","varkappa"
"u/3f1","ϱ","varrho"
"u/3f4","ϴ","textTheta"
"u/3f6","϶","backepsilon"
"u/401","Ё","cyrcharCYRYO"
"u/402","Ђ","cyrcharCYRDJE"
"u/403","Ѓ","cyrchar-acuteCYRG"
"u/404","Є","cyrcharCYRIE"
"u/405","Ѕ","cyrcharCYRDZE"
"u/406","І","cyrcharCYRII"
"u/407","Ї","cyrcharCYRYI"
"u/408","Ј","cyrcharCYRJE"
"u/409","Љ","cyrcharCYRLJE"
"u/40a","Њ","cyrcharCYRNJE"
"u/40b","Ћ","cyrcharCYRTSHE"
"u/40c","Ќ","cyrchar-acuteCYRK"
"u/40e","Ў","cyrcharCYRUSHRT"
"u/40f","Џ","cyrcharCYRDZHE"
"u/410","А","cyrcharCYRA"
"u/411","Б","cyrcharCYRB"
"u/412","В","cyrcharCYRV"
"u/413","Г","cyrcharCYRG"
"u/414","Д","cyrcharCYRD"
"u/415","Е","cyrcharCYRE"
"u/416","Ж","cyrcharCYRZH"
"u/417","З","cyrcharCYRZ"
"u/418","И","cyrcharCYRI"
"u/419","Й","cyrcharCYRISHRT"
"u/41a","К","cyrcharCYRK"
"u/41b","Л","cyrcharCYRL"
"u/41c","М","cyrcharCYRM"
"u/41d","Н","cyrcharCYRN"
"u/41e","О","cyrcharCYRO"
"u/41f","П","cyrcharCYRP"
"u/420","Р","cyrcharCYRR"
"u/421","С","cyrcharCYRS"
"u/422","Т","cyrcharCYRT"
"u/423","У","cyrcharCYRU"
"u/424","Ф","cyrcharCYRF"
"u/425","Х","cyrcharCYRH"
"u/426","Ц","cyrcharCYRC"
"u/427","Ч","cyrcharCYRCH"
"u/428","Ш","cyrcharCYRSH"
"u/429","Щ","cyrcharCYRSHCH"
"u/42a","Ъ","cyrcharCYRHRDSN"
"u/42b","Ы","cyrcharCYRERY"
"u/42c","Ь","cyrcharCYRSFTSN"
"u/42d","Э","cyrcharCYREREV"
"u/42e","Ю","cyrcharCYRYU"
"u/42f","Я","cyrcharCYRYA"
"u/430","а","cyrcharcyra"
"u/431","б","cyrcharcyrb"
"u/432","в","cyrcharcyrv"
"u/433","г","cyrcharcyrg"
"u/434","д","cyrcharcyrd"
"u/435","е","cyrcharcyre"
"u/436","ж","cyrcharcyrzh"
"u/437","з","cyrcharcyrz"
"u/438","и","cyrcharcyri"
"u/439","й","cyrcharcyrishrt"
"u/43a","к","cyrcharcyrk"
"u/43b","л","cyrcharcyrl"
"u/43c","м","cyrcharcyrm"
"u/43d","н","cyrcharcyrn"
"u/43e","о","cyrcharcyro"
"u/43f","п","cyrcharcyrp"
"u/440","р","cyrcharcyrr"
"u/441","с","cyrcharcyrs"
"u/442","т","cyrcharcyrt"
"u/443","у","cyrcharcyru"
"u/444","ф","cyrcharcyrf"
"u/445","х","cyrcharcyrh"
"u/446","ц","cyrcharcyrc"
"u/447","ч","cyrcharcyrch"
"u/448","ш","cyrcharcyrsh"
"u/449","щ","cyrcharcyrshch"
"u/44a","ъ","cyrcharcyrhrdsn"
"u/44b","ы","cyrcharcyrery"
"u/44c","ь","cyrcharcyrsftsn"
"u/44d","э","cyrcharcyrerev"
"u/44e","ю","cyrcharcyryu"
"u/44f","я","cyrcharcyrya"
"u/451","ё","cyrcharcyryo"
"u/452","ђ","cyrcharcyrdje"
"u/453","ѓ","cyrchar-acutecyrg"
"u/454","є","cyrcharcyrie"
"u/455","ѕ","cyrcharcyrdze"
"u/456","і","cyrcharcyrii"
"u/457","ї","cyrcharcyryi"
"u/458","ј","cyrcharcyrje"
"u/459","љ","cyrcharcyrlje"
"u/45a","њ","cyrcharcyrnje"
"u/45b","ћ","cyrcharcyrtshe"
"u/45c","ќ","cyrchar-acutecyrk"
"u/45e","ў","cyrcharcyrushrt"
"u/45f","џ","cyrcharcyrdzhe"
"u/460","Ѡ","cyrcharCYROMEGA"
"u/461","ѡ","cyrcharcyromega"
"u/462","Ѣ","cyrcharCYRYAT"
"u/464","Ѥ","cyrcharCYRIOTE"
"u/465","ѥ","cyrcharcyriote"
"u/466","Ѧ","cyrcharCYRLYUS"
"u/467","ѧ","cyrcharcyrlyus"
"u/468","Ѩ","cyrcharCYRIOTLYUS"
"u/469","ѩ","cyrcharcyriotlyus"
"u/46a","Ѫ","cyrcharCYRBYUS"
"u/46c","Ѭ","cyrcharCYRIOTBYUS"
"u/46d","ѭ","cyrcharcyriotbyus"
"u/46e","Ѯ","cyrcharCYRKSI"
"u/46f","ѯ","cyrcharcyrksi"
"u/470","Ѱ","cyrcharCYRPSI"
"u/471","ѱ","cyrcharcyrpsi"
"u/472","Ѳ","cyrcharCYRFITA"
"u/474","Ѵ","cyrcharCYRIZH"
"u/478","Ѹ","cyrcharCYRUK"
"u/479","ѹ","cyrcharcyruk"
"u/47a","Ѻ","cyrcharCYROMEGARND"
"u/47b","ѻ","cyrcharcyromegarnd"
"u/47c","Ѽ","cyrcharCYROMEGATITLO"
"u/47d","ѽ","cyrcharcyromegatitlo"
"u/47e","Ѿ","cyrcharCYROT"
"u/47f","ѿ","cyrcharcyrot"
"u/480","Ҁ","cyrcharCYRKOPPA"
"u/481","ҁ","cyrcharcyrkoppa"
"u/482","҂","cyrcharcyrthousands"
"u/488","҈","cyrcharcyrhundredthousands"
"u/489","҉","cyrcharcyrmillions"
"u/48c","Ҍ","cyrcharCYRSEMISFTSN"
"u/48d","ҍ","cyrcharcyrsemisftsn"
"u/48e","Ҏ","cyrcharCYRRTICK"
"u/48f","ҏ","cyrcharcyrrtick"
"u/490","Ґ","cyrcharCYRGUP"
"u/491","ґ","cyrcharcyrgup"
"u/492","Ғ","cyrcharCYRGHCRS"
"u/493","ғ","cyrcharcyrghcrs"
"u/494","Ҕ","cyrcharCYRGHK"
"u/495","ҕ","cyrcharcyrghk"
"u/496","Җ","cyrcharCYRZHDSC"
"u/497","җ","cyrcharcyrzhdsc"
"u/498","Ҙ","cyrcharCYRZDSC"
"u/499","ҙ","cyrcharcyrzdsc"
"u/49a","Қ","cyrcharCYRKDSC"
"u/49b","қ","cyrcharcyrkdsc"
"u/49c","Ҝ","cyrcharCYRKVCRS"
"u/49d","ҝ","cyrcharcyrkvcrs"
"u/49e","Ҟ","cyrcharCYRKHCRS"
"u/49f","ҟ","cyrcharcyrkhcrs"
"u/4a0","Ҡ","cyrcharCYRKBEAK"
"u/4a1","ҡ","cyrcharcyrkbeak"
"u/4a2","Ң","cyrcharCYRNDSC"
"u/4a3","ң","cyrcharcyrndsc"
"u/4a4","Ҥ","cyrcharCYRNG"
"u/4a5","ҥ","cyrcharcyrng"
"u/4a6","Ҧ","cyrcharCYRPHK"
"u/4a7","ҧ","cyrcharcyrphk"
"u/4a8","Ҩ","cyrcharCYRABHHA"
"u/4a9","ҩ","cyrcharcyrabhha"
"u/4aa","Ҫ","cyrcharCYRSDSC"
"u/4ab","ҫ","cyrcharcyrsdsc"
"u/4ac","Ҭ","cyrcharCYRTDSC"
"u/4ad","ҭ","cyrcharcyrtdsc"
"u/4ae","Ү","cyrcharCYRY"
"u/4af","ү","cyrcharcyry"
"u/4b0","Ұ","cyrcharCYRYHCRS"
"u/4b1","ұ","cyrcharcyryhcrs"
"u/4b2","Ҳ","cyrcharCYRHDSC"
"u/4b3","ҳ","cyrcharcyrhdsc"
"u/4b4","Ҵ","cyrcharCYRTETSE"
"u/4b5","ҵ","cyrcharcyrtetse"
"u/4b6","Ҷ","cyrcharCYRCHRDSC"
"u/4b7","ҷ","cyrcharcyrchrdsc"
"u/4b8","Ҹ","cyrcharCYRCHVCRS"
"u/4b9","ҹ","cyrcharcyrchvcrs"
"u/4ba","Һ","cyrcharCYRSHHA"
"u/4bb","һ","cyrcharcyrshha"
"u/4bc","Ҽ","cyrcharCYRABHCH"
"u/4bd","ҽ","cyrcharcyrabhch"
"u/4be","Ҿ","cyrcharCYRABHCHDSC"
"u/4bf","ҿ","cyrcharcyrabhchdsc"
"u/4c0","Ӏ","cyrcharCYRpalochka"
"u/4c3","Ӄ","cyrcharCYRKHK"
"u/4c4","ӄ","cyrcharcyrkhk"
"u/4c7","Ӈ","cyrcharCYRNHK"
